,age,maritalstatus,education,vh14p,vh12g,vh12p,vh10g,vh10p,vh08g,vh08p,vh06g,vh06p,vh04g,vh04p,vh02g,vh02p,vh00g,vh00p,net_worth,home_owner_or_renter,g08_precinct_turnout,g10_precinct_turnout,g12_precinct_turnout,p08_precinct_turnout,p10_precinct_turnout,p12_precinct_turnout,vote_prob
2699,0.654320987654321,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.63,0.56,0.7285714285714286,0.11,0.23,0.15,0.4666666666666666
24762,0.4567901234567901,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.65,0.56,0.6285714285714286,0.14,0.23,0.15,0.20000000000000007
26225,0.24691358024691357,1.0,0.7272727272727273,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.6,0.52,0.6285714285714286,0.09,0.19,0.13,0.20000000000000026
32411,0.4197530864197531,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.4,0.27,0.31428571428571433,0.06,0.07,0.07,0.0
12000,0.4938271604938271,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.6900000000000001,0.58,0.6571428571428573,0.15,0.26,0.15,0.0666666666666668
35064,0.6790123456790123,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.375,0.5,0.47,0.33,0.3714285714285715,0.06,0.1,0.06,0.33333333333333337
13852,0.5555555555555556,1.0,0.7272727272727273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.875,0.0,0.7000000000000001,0.56,0.6714285714285715,0.12,0.24,0.12,0.13333333333333344
793,0.6296296296296295,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.375,0.5,0.58,0.45,0.5857142857142856,0.09,0.17,0.08,0.5999999999999996
25198,0.7407407407407407,1.0,0.36363636363636365,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0,0.77,0.68,0.8,0.18,0.34,0.19,0.9999999999999998
36830,0.5061728395061729,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.46,0.31,0.4857142857142858,0.03,0.07,0.04,0.19999999999999993
26226,0.06172839506172839,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.48,0.34,0.5428571428571429,0.04,0.09,0.06,0.0
3395,0.04938271604938271,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.59,0.41,0.5571428571428572,0.06,0.12,0.06,0.0
5779,0.46913580246913583,1.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.25,0.0,0.65,0.59,0.7428571428571429,0.16,0.3,0.16,0.06666666666666676
24986,0.34567901234567894,1.0,0.4545454545454546,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.375,0.0,0.54,0.41,0.5,0.06,0.13,0.07,0.26666666666666694
33344,0.7407407407407407,0.0,0.36363636363636365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.5,0.0,0.56,0.43,0.5999999999999999,0.08,0.16,0.1,0.40000000000000013
34425,0.39506172839506165,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.55,0.41,0.5999999999999999,0.06,0.14,0.08,0.2666666666666668
23403,0.38271604938271603,0.5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.67,0.5700000000000001,0.6857142857142857,0.11,0.23,0.12,0.20000000000000026
23877,0.7777777777777779,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.625,0.0,0.61,0.5,0.5857142857142856,0.08,0.18,0.12,0.20000000000000048
30693,0.6419753086419753,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.77,0.72,0.8142857142857143,0.26,0.51,0.34,0.9999999999999998
47109,0.5432098765432098,0.0,0.36363636363636365,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.25,0.0,0.6,0.5700000000000001,0.6857142857142857,0.22,0.31,0.24,0.2666666666666667
5960,0.037037037037037035,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.52,0.37,0.45714285714285713,0.04,0.08,0.03,0.0
5253,0.48148148148148145,0.0,0.36363636363636365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.25,0.0,0.64,0.54,0.6714285714285715,0.12,0.2,0.16,0.0666666666666667
13758,0.2839506172839506,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.62,0.49,0.6857142857142857,0.1,0.15,0.12,0.2
7444,0.35802469135802467,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.625,0.0,0.68,0.67,0.7142857142857144,0.21,0.25,0.2,0.20000000000000004
7468,0.09876543209876543,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.66,0.5700000000000001,0.6285714285714286,0.16,0.29,0.18,0.13333333333333328
39086,0.617283950617284,0.0,0.36363636363636365,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.73,0.7000000000000001,0.6714285714285715,0.32,0.49,0.32,0.5999999999999998
7990,0.4074074074074074,0.0,0.18181818181818182,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.73,0.61,0.7142857142857144,0.16,0.29,0.17,0.3333333333333335
6649,0.5679012345679013,1.0,0.8181818181818182,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.5,0.0,0.51,0.39,0.5714285714285716,0.06,0.11,0.07,0.5999999999999998
23449,0.2962962962962962,1.0,0.6363636363636364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.28,0.23,0.2285714285714286,0.03,0.06,0.04,1.3386988929458763e-17
48793,0.6049382716049383,0.5,0.36363636363636365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.0,0.6900000000000001,0.58,0.6857142857142857,0.16,0.3,0.17,1.493384754526452e-16
25397,0.39506172839506165,0.0,0.36363636363636365,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.5,0.0,0.6900000000000001,0.64,0.8,0.16,0.26,0.17,0.5333333333333331
48812,0.4074074074074074,1.0,0.36363636363636365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.41,0.29,0.3000000000000001,0.08,0.08,0.06,2.657794176263064e-17
8282,0.46913580246913583,0.0,0.09090909090909091,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.61,0.49,0.5714285714285716,0.12,0.22,0.11,0.933333333333333
20308,0.6296296296296295,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.48,0.41,0.5999999999999999,0.05,0.12,0.08,0.06666666666666664
44366,0.5802469135802468,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.25,1.0,0.66,0.56,0.6857142857142857,0.1,0.2,0.12,0.6666666666666664
15581,0.09876543209876543,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.25,0.0,0.76,0.7000000000000001,0.7714285714285714,0.2,0.32,0.21,0.13333333333333328
16757,0.35802469135802467,0.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.5,0.0,0.75,0.7000000000000001,0.8,0.17,0.32,0.17,0.2666666666666667
2266,0.728395061728395,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.52,0.35000000000000003,0.5428571428571429,0.06,0.1,0.06,0.06666666666666675
39306,0.5555555555555556,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.73,0.7000000000000001,0.7428571428571429,0.24,0.4,0.25,8.827331045341025e-17
9898,0.4567901234567901,0.0,0.09090909090909091,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0,0.61,0.49,0.6142857142857143,0.11,0.22,0.12,0.9999999999999997
23526,0.4074074074074074,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.25,0.0,0.71,0.62,0.7,0.18,0.33,0.19,0.5999999999999999
45505,0.617283950617284,0.0,0.8181818181818182,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.25,0.0,0.65,0.51,0.5714285714285716,0.15,0.27,0.15,0.733333333333333
10439,0.6419753086419753,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.625,1.0,0.88,0.64,0.8571428571428572,0.28,0.48,0.34,0.06666666666666671
8667,0.4567901234567901,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.125,1.0,0.65,0.54,0.6428571428571428,0.12,0.22,0.16,0.2666666666666666
30726,0.39506172839506165,0.0,0.18181818181818182,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.25,0.0,0.52,0.48,0.5857142857142856,0.19,0.25,0.18,0.2666666666666668
6788,0.8024691358024691,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.72,0.63,0.7428571428571429,0.15,0.28,0.19,0.6000000000000001
21903,0.4567901234567901,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.8300000000000001,0.78,0.842857142857143,0.35000000000000003,0.45,0.31,0.7333333333333332
42845,0.5925925925925926,0.0,0.8181818181818182,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.55,0.46,0.5999999999999999,0.07,0.15,0.07,0.46666666666666656
34721,0.12345679012345678,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.54,0.41,0.45714285714285713,0.1,0.16,0.08,0.0
16756,0.6666666666666667,0.0,0.36363636363636365,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.625,0.0,0.64,0.54,0.6142857142857143,0.16,0.28,0.15,0.7333333333333328
22531,0.35802469135802467,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.5,0.0,0.52,0.35000000000000003,0.5857142857142856,0.04,0.1,0.05,0.3333333333333336
2577,0.5061728395061729,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.65,0.61,0.7285714285714286,0.11,0.25,0.15,0.3333333333333334
30362,0.5432098765432098,0.0,0.7272727272727273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.25,0.0,0.8300000000000001,0.79,0.8571428571428572,0.26,0.41,0.27,0.1333333333333333
46148,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.42,0.37,0.3714285714285715,0.04,0.12,0.06,0.0
34251,0.04938271604938271,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.32,0.29,0.3000000000000001,0.05,0.11,0.11,0.0
3843,0.16049382716049382,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.52,0.46,0.5428571428571429,0.13,0.2,0.15,0.06666666666666658
1744,0.44444444444444436,1.0,0.7272727272727273,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.875,0.0,0.48,0.39,0.3714285714285715,0.1,0.16,0.1,0.26666666666666666
11084,0.8765432098765433,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.51,0.41,0.4428571428571429,0.09,0.17,0.11,0.5999999999999999
35373,0.5925925925925926,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.63,0.47,0.6428571428571428,0.09,0.16,0.11,0.06666666666666672
3541,0.5925925925925926,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.59,0.55,0.5428571428571429,0.16,0.31,0.21,0.0666666666666667
478,0.3209876543209877,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.5700000000000001,0.47,0.5714285714285716,0.12,0.21,0.13,0.06666666666666664
46116,0.46913580246913583,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.875,0.0,0.58,0.44,0.4857142857142858,0.1,0.2,0.1,0.26666666666666705
9307,0.4197530864197531,0.0,0.36363636363636365,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.25,0.0,0.56,0.45,0.5714285714285716,0.1,0.16,0.13,0.7999999999999996
37065,0.5679012345679013,1.0,0.4545454545454546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.62,0.56,0.6428571428571428,0.14,0.24,0.15,0.13333333333333344
17773,0.18518518518518517,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.38,0.27,0.2714285714285714,0.06,0.11,0.03,0.0
11078,0.13580246913580246,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.36,0.5285714285714287,0.03,0.08,0.05,0.0
3878,0.07407407407407407,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.34,0.18,0.08571428571428569,0.04,0.07,0.05,0.0
12296,0.5555555555555556,1.0,0.8181818181818182,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.25,0.0,0.56,0.44,0.5285714285714287,0.1,0.16,0.12,0.6666666666666665
2179,0.08641975308641975,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.125,0.5,0.51,0.35000000000000003,0.5142857142857145,0.06,0.1,0.08,0.13333333333333325
44209,0.5802469135802468,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.71,0.6,0.7,0.15,0.28,0.17,0.4
20052,0.6666666666666667,0.0,0.4545454545454546,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.64,0.6,0.7857142857142856,0.25,0.35000000000000003,0.32,0.8666666666666664
34442,0.271604938271605,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.58,0.49,0.5571428571428572,0.12,0.18,0.13,0.06666666666666664
11950,0.04938271604938271,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.73,0.66,0.7428571428571429,0.19,0.3,0.16,0.06666666666666655
1176,0.8518518518518519,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.71,0.67,0.7714285714285714,0.27,0.45,0.13,0.5333333333333332
29969,0.06172839506172839,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.37,0.3,0.4714285714285715,0.06,0.09,0.04,0.0
2938,0.3209876543209877,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.25,0.0,0.63,0.52,0.5999999999999999,0.13,0.21,0.12,0.26666666666666694
23488,0.13580246913580246,0.0,0.36363636363636365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.41,0.3,0.42857142857142855,0.05,0.09,0.06,0.06666666666666665
20800,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.43,0.25,0.3428571428571429,0.07,0.08,0.07,0.0
15316,0.46913580246913583,0.0,0.7272727272727273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.5700000000000001,0.41,0.5857142857142856,0.03,0.1,0.05,0.13333333333333341
35924,0.18518518518518517,0.0,0.7272727272727273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.25,0.0,0.51,0.35000000000000003,0.5285714285714287,0.05,0.09,0.06,0.19999999999999982
28308,0.16049382716049382,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.59,0.55,0.5999999999999999,0.22,0.32,0.23,0.0
45562,0.2345679012345679,1.0,0.36363636363636365,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.67,0.61,0.7714285714285714,0.2,0.35000000000000003,0.22,0.2666666666666666
46759,0.7901234567901234,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.63,0.61,0.6142857142857143,0.23,0.37,0.28,0.6666666666666665
39987,0.35802469135802467,0.5,0.4545454545454546,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.25,0.0,0.77,0.67,0.7857142857142856,0.17,0.28,0.17,0.7333333333333331
47804,0.39506172839506165,0.0,0.7272727272727273,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.0,0.63,0.6,0.5999999999999999,0.23,0.38,0.26,0.5999999999999999
7522,0.7530864197530864,1.0,0.36363636363636365,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.5,0.0,0.65,0.52,0.6857142857142857,0.09,0.19,0.1,0.6666666666666665
26231,0.5555555555555556,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.75,0.64,0.7285714285714286,0.18,0.29,0.19,0.19999999999999987
28736,0.037037037037037035,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.7000000000000001,0.62,0.7142857142857144,0.11,0.25,0.16,0.0
8963,0.25925925925925924,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6,0.47,0.5714285714285716,0.09,0.18,0.13,0.0
41129,0.3703703703703704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.73,0.5700000000000001,0.7142857142857144,0.13,0.25,0.13,0.20000000000000012
22919,0.617283950617284,1.0,0.18181818181818182,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.625,0.0,0.68,0.55,0.6571428571428573,0.12,0.22,0.13,0.5999999999999999
29600,0.06172839506172839,1.0,0.7272727272727273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.61,0.48,0.6285714285714286,0.11,0.19,0.15,0.06666666666666664
48784,0.6419753086419753,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.375,0.0,0.61,0.5700000000000001,0.6285714285714286,0.2,0.32,0.25,0.6000000000000001
3946,0.04938271604938271,1.0,0.7272727272727273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.62,0.51,0.4857142857142858,0.13,0.29,0.18,0.0
33133,0.5308641975308641,0.0,0.7272727272727273,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.25,0.0,0.58,0.48,0.5285714285714287,0.1,0.15,0.09,0.33333333333333337
3555,0.20987654320987653,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5,1.0,0.56,0.4,0.6285714285714286,0.04,0.09,0.07,0.13333333333333322
18249,0.24691358024691357,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.5700000000000001,0.49,0.5285714285714287,0.14,0.26,0.15,0.33333333333333315
21289,0.5061728395061729,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.62,0.7000000000000001,0.7,0.31,0.51,0.27,0.2666666666666666
38344,0.2345679012345679,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.25,0.0,0.51,0.41,0.6285714285714286,0.06,0.12,0.06,0.46666666666666645
22393,0.5061728395061729,0.0,0.36363636363636365,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.25,0.0,0.66,0.52,0.6428571428571428,0.12,0.23,0.1,0.5999999999999999
47864,0.07407407407407407,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.56,0.43,0.5428571428571429,0.08,0.13,0.08,0.19999999999999996
27100,0.271604938271605,1.0,0.7272727272727273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5,0.39,0.6142857142857143,0.04,0.1,0.06,0.06666666666666662
36882,0.6049382716049383,1.0,0.36363636363636365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.5,0.42,0.4428571428571429,0.09,0.14,0.08,9.5884210628617e-17
18582,0.38271604938271603,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.45,0.35000000000000003,0.4857142857142858,0.09,0.13,0.09,0.06666666666666665
31161,0.691358024691358,0.0,0.36363636363636365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.5,0.0,0.6,0.44,0.5999999999999999,0.08,0.16,0.11,0.33333333333333337
41433,0.30864197530864196,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.53,0.38,0.5714285714285716,0.07,0.14,0.09,0.33333333333333337
46854,0.4938271604938271,0.5,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,0.72,0.59,0.7,0.15,0.25,0.15,0.7333333333333331
13369,0.5308641975308641,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.77,0.75,0.8142857142857143,0.2,0.39,0.24,0.9999999999999996
